cluster,linea,sublinea,clase,subclase
31,MOTOCICLETAS Y ACCESORIOS,REFACCIONES,ACEITES,ACEITES
32,COMPUTO,COMPUTADORAS,TABLETS,TABLETS
32,MUEBLES,ESTANCIA,CENTROS  ENTRETENIMIENTO,CENTROS ENTRETENIMIENTO
32,MUEBLES,HOGAR,DECORACION,PORTARETRATOS
32,MUEBLES,HOGAR,MESA,VAJILLAS
33,LINEA BLANCA,ELECTRODOMESTICOS,ELECTRICOS,HORNO ELECTRICO
33,LINEA BLANCA,ELECTRODOMESTICOS,MAQUINAS DE COSER,MAQUINAS DE COSER
33,LINEA BLANCA,ELECTRODOMESTICOS,PLANCHA,PLANCHA
33,MUEBLES,HOGAR,TAPETES,AREA
34,ACCESORIOS,ELECTRONICA,VIDEO/TVS,ANTENAS
34,COLCHONES Y BOXES,COLCHONES Y BOXES,BOXES,MATRIMONIALES
34,ELECTRONICA,HOME AUDIO,EQUIPOS DE SONIDO,MINICOMPONENTES
34,ELECTRONICA,TELEVISIONES,LED,32 PULGADAS
34,ELECTRONICA,VIDEO,VIDEO,DVD
34,LINEA BLANCA,AIRES ACOND./VENTILADORES,VENTILADORES,PEDESTAL
34,LINEA BLANCA,AIRES ACOND./VENTILADORES,VENTILADORES,PISO
34,TRANSPORTE/NVOS NEGOCIOS,FERRETERIA,HERRAMIENTAS MANUAL,KIT DE HERRAMIENTAS
35,COLCHONES Y BOXES,COLCHONES Y BOXES,SET DE CAMA,MATRIMONIALES
35,LINEA BLANCA,AIRES ACOND./VENTILADORES,MINI-SPLITS,1 TONELADA
35,MOTOCICLETAS Y ACCESORIOS,MOTOCICLETAS,MOTONETA,150 CC
35,MOTOCICLETAS Y ACCESORIOS,MOTOCICLETAS,TRABAJO,180 CC
35,TELEFONIA,TELEFONOS,TELCEL,NYX.
36,ACCESORIOS,ELECTRONICA,VIDEO/TVS,CONTROL REMOTO
36,MUEBLES,ESTANCIA,ROPEROS,ROPEROS
36,TRANSPORTE/NVOS NEGOCIOS,INFANTILES,TRICICLOS Y SCOOTERS,SCOOTER
37,LINEA BLANCA,ESTUFAS,ESTUFAS DE PISO,30 PULGADAS
37,LINEA BLANCA,HORNOS DE MICROONDAS,DE MESA,.8 Y MENORES
38,COLCHONES Y BOXES,COLCHONES Y BOXES,SET DE CAMA,KING SIZE
38,MOTOCICLETAS Y ACCESORIOS,MOTOCICLETAS,DOBLE PROPOSITO,125 CC
38,MUEBLES,DORMITORIO,BASES,BASES
38,MUEBLES,DORMITORIO,RECAMARAS,RECAMARAS
38,TELEFONIA,TELEFONOS,TELEFONICA,MOVISTAR VERYKOOL
39,LINEA BLANCA,ELECTRODOMESTICOS,ELECTRICOS,BATIDORA
39,LINEA BLANCA,LAVANDERIA,LAVADORAS 2 TINAS,8 KILOS Y MENORES
39,LINEA BLANCA,REFRIGERACION,AUT.C/CONGELADOR SUPERIOR,DE 8 A 10 PIES CUBICOS
39,MUEBLES,HOGAR,DECORACION,ORGANIZACION
39,TELEFONIA,TELEFONOS,TELCEL,LG
39,TRANSPORTE/NVOS NEGOCIOS,MONTABLES,AUTOS,AUTOS
40,ELECTRONICA,CAR AUDIO,AUTOESTEREOS Y ACCESORIOS,BOCINAS Y ACCESORIOS
40,ELECTRONICA,VIDEO,VIDEO,HOME THEATER
40,TELEFONIA,TELEFONOS,AT&T,LANIX
40,TELEFONIA,TELEFONOS,TELCEL,ALCATEL
40,TELEFONIA,TELEFONOS,TELEFONICA,ALCATEL
40,TRANSPORTE/NVOS NEGOCIOS,FERRETERIA,HERRAMIENTA ELECTRICA,HIDROLAVADORAS
